Alpha Bank;tr deiktis;gen deiktis
-0,014493;-0,032499;-0,003482
-0,054276;-0,047883;-0,029255
0,013333;-0,001004;0,029651
-0,000833;-0,000542;-0,005567
0,026496;0,020167;0,004767
0,049327;0,065928;0,030121
0,096721;0,089453;0,074949
-0,027734;-0,027074;-0,000092
0,010306;-0,052375;0,003615
-0,114123;-0,102387;-0,031661
0,038519;0,016362;-0,003587
0,038462;0,053951;0,016742
-0,060014;-0,044135;-0,033919
0,148671;0,162097;0,038207
0,135849;0,109018;0,074764
-0,160728;-0,139399;-0,072525
0,059564;0,073603;0,055420
0,010169;0,028697;0,077297
-0,099924;-0,077242;-0,006726
-0,126000;-0,069055;0,012701
-0,183007;-0,160872;-0,118840
0,080000;0,063444;0,021486
-0,123711;-0,162413;-0,106022
-0,058252;-0,064047;-0,039811
0,138122;0,119471;0,057838
-0,155784;-0,169508;-0,133876
-0,149206;-0,118692;-0,049817
-0,104478;-0,095194;-0,061661
-0,029655;-0,002980;0,010465
0,126651;0,112426;0,062238
-0,056452;-0,078650;-0,059215
-0,091877;-0,082369;-0,045690
-0,058897;-0,041785;-0,020984
0,039739;0,058063;0,021513
-0,096527;-0,109639;-0,075749
-0,029143;-0,036383;-0,020435
-0,015194;-0,017117;-0,005836
0,018338;0,003130;0,003195
-0,023503;-0,017261;-0,005963
-0,015427;-0,010963;-0,003219
-0,005479;0,005381;0,003962
-0,015642;-0,008095;0,000489
0,026010;0,006985;-0,001208
0,056108;0,023978;0,010914
0,000585;-0,008466;-0,009304
-0,033898;-0,036370;-0,011406
0,011429;-0,010257;-0,002511
-0,017957;-0,003505;0,003793
-0,005025;-0,004716;0,006201
-0,019168;-0,001810;-0,001757
-0,330000;-0,007086;-0,010913
-0,014039;-0,006692;-0,007434
0,009815;0,000061;-0,004394
-0,001089;-0,014507;-0,004033
-0,010243;-0,014116;-0,009259
0,000000;-0,002417;0,007252
0,001620;0,006733;-0,000660
-0,001617;-0,004932;-0,000307
-0,008021;-0,001645;0,004488
-0,000534;0,004559;0,005970
0,000000;-0,000645;0,001866
0,005914;0,006389;0,002172
0,024793;0,026190;0,004663
-0,015193;-0,001596;0,003705
-0,014439;-0,014373;-0,004741
-0,010582;-0,005589;-0,003238
0,018319;0,010908;0,006117
-0,012766;-0,016845;-0,002052
0,000000;0,008052;0,008441
-0,015707;-0,013657;-0,006500
-0,006760;0,004298;0,013856